Time,VP,DT,PR,MR,ST,DR
180,80,70,1505,0.27887501,34.62,0.023186631
190,80,70,1505,0.251706239,43.124,0.021860648
200,80,70,1505,0.227184324,35.188,0.020610494
210,80,70,1505,0.192154513,41.906,0.020418629
220,80,70,1505,0.162525989,32.332,0.02022855
230,80,70,1505,0.13746592,38.086,0.02004024
240,80,70,1505,0.116269893,32.771,0.019853683
250,80,70,1505,0.09125147,37.819,0.017830556
260,80,70,1505,0.071616397,41,0.01601359
270,80,70,1505,0.056206309,35.2,0.014381776
280,80,70,1505,0.044112093,44.397,0.012916246
290,80,70,1505,0.025911787,35.023,0.008172939
300,80,70,1505,0.015220786,44.546,0.005171544
310,80,70,1505,0.01493626,32.19,0.000722393
320,80,70,1505,0.014657053,42.661,0.000100908
0,80,60,1005,1,22.49,0
10,80,60,1005,0.966715955,31.774,0.023788749
20,80,60,1005,0.934539737,30.957,0.02339364
30,80,60,1005,0.903434474,35.884,0.023005093
40,80,60,1005,0.869363881,32.865,0.023164336
50,80,60,1005,0.836578169,29.966,0.02332468
60,80,60,1005,0.805028881,36.307,0.023486135
70,80,60,1005,0.770834678,30.315,0.023476699
80,80,60,1005,0.738092898,37.61,0.023467267
90,80,60,1005,0.70674185,35.077,0.023457838
100,80,60,1005,0.6709748,29.45,0.023746665
110,80,60,1005,0.637017862,35.935,0.024039048
120,80,60,1005,0.604779429,32.791,0.024335031
130,80,60,1005,0.57143787,38.859,0.023735591
140,80,60,1005,0.539934435,33.493,0.023150917
150,80,60,1005,0.510167787,35,0.022580645
160,80,60,1005,0.479825797,37.217,0.021849834
170,80,60,1005,0.451288383,29.952,0.021142676
180,80,60,1005,0.424448217,38.633,0.020458404
190,80,60,1005,0.395302719,34.076,0.020122803
200,80,60,1005,0.368158548,35.948,0.019792706
210,80,60,1005,0.342878281,34.053,0.019468025
220,80,60,1005,0.315028833,30.839,0.019092992
230,80,60,1005,0.289441388,39.031,0.018725183
240,80,60,1005,0.265932221,31.182,0.01836446
250,80,60,1005,0.239429374,30.958,0.017949573
260,80,60,1005,0.215567804,35.502,0.01754406
270,80,60,1005,0.194084283,27.359,0.017147708
280,80,60,1005,0.172433418,37.915,0.015964359
290,80,60,1005,0.153197792,30.792,0.014862672
300,80,60,1005,0.136107976,39.478,0.013837012
310,80,60,1005,0.120114456,30.621,0.012482575
320,80,60,1005,0.106000273,27.158,0.011260717
330,80,60,1005,0.093544593,36.791,0.010158461
340,80,60,1005,0.081092507,25.323,0.009294813
350,80,60,1005,0.070297967,37.167,0.00850459
360,80,60,1005,0.060940331,29.48,0.007781551
370,80,60,1005,0.051321171,27.552,0.007078567
380,80,60,1005,0.043220353,32.597,0.006439091
390,80,60,1005,0.036398213,26.862,0.005857385
400,80,60,1005,0.026007979,37.77,0.005741939
410,80,60,1005,0.018583742,26.454,0.005628768
420,80,60,1005,0.013278827,27.17,0.005517827
430,80,60,1005,0.01307821,34.039,0.001627096
440,80,60,1005,0.012880623,34.21904599,0.000479798
450,80,60,1005,0.012686022,34.40004431,0.000141483
0,80,70,1005,1,34.582,0
10,80,70,1005,0.9539791,35.651,0.032941191
20,80,70,1005,0.910076122,35.119,0.032183803
30,80,70,1005,0.8681936,39.946,0.031443828
40,80,70,1005,0.825861355,35.797,0.030556419
50,80,70,1005,0.785593187,41.096,0.029694055
60,80,70,1005,0.747288455,38.016,0.028856028
70,80,70,1005,0.716429271,32.654,0.026035805
80,80,70,1005,0.686844414,40.652,0.023491214
90,80,70,1005,0.658481259,37.623,0.021195317
100,80,70,1005,0.614504807,42.884,0.02364624
110,80,70,1005,0.573465307,37.543,0.026380575
120,80,70,1005,0.535166617,33.965,0.029431095
130,80,70,1005,0.487470249,41.983,0.030008453
140,80,70,1005,0.444024788,32.259,0.030597138
150,80,70,1005,0.404451375,42.729,0.031197371
160,80,70,1005,0.369850651,38.053,0.028066211
170,80,70,1005,0.338210011,43.509,0.025249313
180,80,70,1005,0.309276221,38.557,0.022715137
190,80,70,1005,0.274832993,35.096,0.022479945
200,80,70,1005,0.24422561,43.799,0.022247188
210,80,70,1005,0.217026887,35.058,0.022016841
220,80,70,1005,0.188974523,35.655,0.020433857
230,80,70,1005,0.16454814,39.794,0.018964688
240,80,70,1005,0.143279051,28.868,0.01760115
250,80,70,1005,0.119829644,41.741,0.016382246
260,80,70,1005,0.100218025,35.627,0.015247754
270,80,70,1005,0.083816093,44.733,0.014191826
280,80,70,1005,0.067245582,35.532,0.012489716
290,80,70,1005,0.053951075,29.439,0.01099175
300,80,70,1005,0.043284902,42.332,0.009673444
310,80,70,1005,0.030558934,32.809,0.008556839
320,80,70,1005,0.021574461,43.754,0.007569124
330,80,70,1005,0.015231467,35,0.00669542
340,80,70,1005,0.014634701,32.264,0.002640677
350,80,70,1005,0.014061316,41.294,0.001041484
360,80,70,1005,0.013510397,34.472,0.000410762
0,80,70,1002,1,26.921,0
10,80,70,1002,0.968096669,32.149,0.022808424
20,80,70,1002,0.937211161,33.205,0.022445801
30,80,70,1002,0.907311003,32.529,0.022088942
40,80,70,1002,0.874720983,36.393,0.022231816
50,80,70,1002,0.838059539,35.687,0.023142767
60,80,70,1002,0.802934654,35.342,0.024091045
70,80,70,1002,0.76928193,39.465,0.025078178
80,80,70,1002,0.732064547,37.301,0.025345026
90,80,70,1002,0.695469114,36.431,0.025426032
100,80,70,1002,0.660703064,34.589,0.025507298
110,80,70,1002,0.627076768,40.39,0.02542513
120,80,70,1002,0.592896344,38.204,0.024700936
130,80,70,1002,0.560579012,35.618,0.02399737
140,80,70,1002,0.530023218,33.857,0.023313844
150,80,70,1002,0.497440865,40.692,0.022952479
160,80,70,1002,0.464565577,38.092,0.022797592
170,80,70,1002,0.433862979,32.706,0.022643749
180,80,70,1002,0.40518948,34.496,0.022490945
190,80,70,1002,0.375754949,38.651,0.021511863
200,80,70,1002,0.348458656,38.049,0.020575402
210,80,70,1002,0.323145271,32.467,0.019679707
220,80,70,1002,0.296980147,42.219,0.01905833
230,80,70,1002,0.269266069,38.415,0.018803768
240,80,70,1002,0.244138258,36.566,0.018552607
250,80,70,1002,0.221355365,31.452,0.0183048
260,80,70,1002,0.191472351,42.07,0.01833615
270,80,70,1002,0.163686377,37.477,0.01843729
280,80,70,1002,0.139932632,36.287,0.018538988
290,80,70,1002,0.119493042,30.127,0.018071769
300,80,70,1002,0.101586221,41.859,0.015560304
310,80,70,1002,0.086362855,36.46,0.013397863
320,80,70,1002,0.073420812,34.632,0.011535939
330,80,70,1002,0.060636884,31.638,0.010162549
340,80,70,1002,0.049121495,29.623,0.009090209
350,80,70,1002,0.039792963,38.063,0.008131021
360,80,70,1002,0.032235988,36.295,0.007273046
370,80,70,1002,0.022790018,34.305,0.0054395
380,80,70,1002,0.016111959,30.1,0.004068194
390,80,70,1002,0.013969825,34.594,0.001201174
400,80,70,1002,0.013877977,38.514,0.000190862
410,80,70,1002,0.0128,34.254,0.00018
